Age,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,BikeBuyer
64,1,2,0,2,0,4,3,3,138418,1
64,4,4,0,3,0,2,4,4,123475,0
64,4,4,0,3,1,4,3,3,136555,1
65,4,4,0,3,1,3,3,3,131035,0
65,1,2,0,2,0,3,3,3,139552,1
67,3,4,0,3,1,2,4,4,140179,0
60,2,1,0,3,1,0,0,1,36399,0
61,1,3,0,3,1,0,0,1,26675,0
61,1,3,1,3,1,0,0,1,28641,0
86,2,1,1,3,1,0,0,1,46868,0
64,1,3,1,3,1,0,0,1,23353,0
65,4,3,0,3,1,0,0,1,30760,0
85,2,1,0,3,1,0,0,1,62977,0
83,1,1,0,2,1,0,0,1,25937,0
81,1,1,0,2,1,0,0,1,52894,0
80,2,1,1,3,1,0,0,1,72297,0
79,1,1,1,3,1,0,0,1,47277,0
79,2,1,1,2,1,0,0,1,65086,0
63,4,3,0,3,1,1,0,2,11073,0
62,1,1,1,2,1,0,0,3,55029,0
63,2,1,0,2,1,0,0,3,69335,1
63,2,1,1,3,1,0,0,3,76084,1
53,1,1,1,2,1,0,0,0,66885,0
53,2,1,1,2,1,0,0,0,74702,0
69,3,3,1,3,0,2,1,2,25070,0
68,4,4,0,3,0,1,2,4,106318,1
68,4,4,1,2,1,1,2,4,122977,1
77,2,2,1,3,1,4,4,4,173468,1
76,1,2,1,3,1,3,4,4,178271,1
71,4,4,1,3,1,4,5,5,157571,1
72,4,2,0,3,0,4,5,5,129459,1
47,1,5,0,3,1,0,1,1,53712,0
49,5,3,1,2,0,2,0,0,16778,0
42,5,3,1,2,1,2,0,0,19807,0
44,3,3,1,2,0,1,0,0,62398,1
48,1,5,0,3,1,0,1,1,57543,0
50,3,3,0,2,0,1,0,0,48362,0
50,4,1,1,3,0,0,2,2,46450,0
51,5,3,1,2,1,2,0,0,20671,1
51,5,3,0,2,0,2,0,0,12493,0
51,5,3,1,3,0,2,0,0,19114,0
52,4,1,0,2,1,0,2,2,59609,0
52,4,1,1,2,1,2,2,2,56036,1
52,4,1,0,2,1,2,2,2,55863,0
54,4,3,1,2,0,0,1,1,20740,0
54,2,1,1,2,1,0,0,0,59117,0
54,1,1,0,3,1,0,0,0,50134,0
55,4,3,0,3,1,1,1,1,25627,1
96,1,1,0,3,1,0,0,1,55981,0
55,4,3,1,3,1,1,1,1,31550,1
55,1,1,0,2,0,0,1,1,56406,1
55,1,1,1,2,0,0,1,1,56314,0
55,1,1,0,2,0,1,1,1,56250,1
56,3,3,1,2,0,1,1,1,23122,1
56,3,3,1,2,1,0,2,2,24241,1
56,3,3,0,2,1,0,2,2,17767,0
57,3,3,0,2,1,1,2,2,22622,1
57,3,3,0,2,1,1,2,2,14641,0
57,3,3,1,2,1,2,2,2,19664,1
58,3,3,1,2,1,1,3,3,22376,1
57,1,5,0,3,1,0,0,1,58426,0
57,1,5,1,3,1,0,0,1,60618,1
58,1,5,0,3,1,0,0,1,51392,0
59,1,5,1,3,1,0,0,1,53454,0
45,4,1,1,2,0,1,0,0,58729,0
45,4,1,1,2,1,1,0,0,46728,1
46,4,1,1,2,0,1,0,0,50855,0
47,4,1,1,2,0,1,0,0,57127,0
48,5,3,1,2,0,2,0,0,13742,0
47,1,5,1,3,1,0,1,1,53160,1
47,1,5,0,3,1,0,1,1,55282,0
46,4,1,1,2,0,1,0,0,47002,1
64,1,2,1,3,1,2,3,3,163112,0
