f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,target
-1.388338512,4.638146457,0.876557961,2.073274166,-1.776687629,0.876557961,-0.549398871,1.675542134,-0.798709711,-0.798709711,1
-1.906858344,-3.50340085,-0.942371174,1.673610207,-1.455101301,-0.942371174,0.98578558,-1.554664974,3.599263537,3.599263537,1
2.544245708,-3.124024277,1.786640583,-2.624127518,3.72269615,1.786640583,0.418760106,0.259647586,0.568323787,0.568323787,1
-0.501224974,2.726394654,0.559144355,0.563423438,-2.249065901,0.559144355,-2.051465102,1.477570974,1.383632526,1.383632526,1
1.898197081,-1.211775146,2.375466596,-0.777822344,2.020685846,2.375466596,-1.00623445,1.173511326,3.038140265,3.038140265,0
0.588338023,1.9808979,3.890552978,0.589130971,2.805584469,3.890552978,-2.257375809,-0.18085793,1.177297871,1.177297871,0
0.545713545,1.090131561,2.11529119,-0.191305986,1.475926766,2.11529119,-0.347987225,0.953221255,0.005461217,0.005461217,0
1.514129868,-9.10642589,1.008120125,-2.54597843,4.94810732,1.008120125,2.46607553,-2.768589463,2.613777633,2.613777633,1
2.834208742,-6.074373979,1.289299636,-2.541307361,4.907469328,1.289299636,0.834192189,-1.563403352,1.861901859,1.861901859,1
0.026485185,-4.830295357,0.438328669,-0.393528752,2.511371092,0.438328669,2.266031847,-1.657761036,1.181453567,1.181453567,1
1.178976653,-3.100837315,1.48584278,-1.470191393,3.231830073,1.48584278,1.211092755,-0.510387843,0.2500761,0.2500761,1
0.157598597,4.02235023,3.474923498,-0.257311922,1.258714808,3.474923498,-3.218693212,0.460473558,-0.418130834,-0.418130834,0
-0.053708474,2.371498592,0.839519978,0.86262258,-0.217089428,0.839519978,-0.408329396,1.111238693,-0.278351044,-0.278351044,1
1.985160282,-5.324861773,0.756622939,-1.589105265,5.388065549,0.756622939,3.13564299,-1.726994203,-0.941030312,-0.941030312,1
1.078386749,-6.398264434,-0.055770442,-1.062688414,2.842648289,-0.055770442,1.236960503,-2.390958788,2.67359203,2.67359203,1
4.957817859,-0.302357143,3.418519862,-1.574981585,6.828927502,3.418519862,-5.733683423,-3.262157697,1.997877842,1.997877842,0
-0.188771224,0.341647955,1.897528349,-0.730821462,0.112945533,1.897528349,-1.019617477,0.827541269,1.155549551,1.155549551,1
-0.490917149,5.569303207,1.453635013,1.828757483,-0.390323711,1.453635013,-0.577643201,1.869609521,-2.073213773,-2.073213773,1
3.585366655,-2.731317961,2.64935641,-3.480120939,5.964144047,2.64935641,0.633821368,0.04181766,-1.393360025,-1.393360025,1
