Age,Gender,Income,Balance,Vintage,Transaction_Status,Product_Holdings,Credit_Card,Credit_Category,Is_Churn
36,1,2,563266.44,4,0,1,0,2,1
53,1,1,875572.11,2,1,1,1,1,0
35,1,4,701607.06,2,1,2,0,1,0
43,1,4,1393922.16,0,1,2,1,1,1
39,1,4,893146.23,1,1,1,1,3,1
31,1,1,111026.79,4,1,1,0,3,0
56,2,1,1072102.23,2,1,2,1,2,0
41,1,3,1587489.75,4,0,1,1,1,1
60,1,3,1465812.54,0,0,1,1,1,1
32,1,2,770796.81,3,0,1,1,1,0
40,1,4,1582892.64,1,0,1,1,2,1
33,1,3,1229087.79,3,1,2,1,1,0
37,2,3,970529.85,1,1,1,0,2,0
32,2,4,189726.03,3,1,1,1,3,0
33,2,3,1626138.18,4,0,1,1,1,0
47,1,2,560017.62,3,1,3,1,1,1
28,2,2,126864,3,1,2,0,1,0
35,2,2,101367,2,1,2,1,2,1
30,1,1,644629.23,3,1,1,1,3,0
45,1,3,30347.82,2,1,1,1,1,0
66,1,3,750865.14,4,1,2,0,1,0
41,2,3,1072086.66,4,1,2,1,1,1
41,1,1,1126609.2,3,0,1,1,1,0
28,2,1,570972.15,2,0,1,1,1,0
40,2,1,628551,0,1,1,1,1,0
62,2,2,641867.22,1,0,2,1,2,0
36,2,2,215598.78,1,1,2,1,2,0
34,2,4,1772807.67,1,1,1,1,1,1
42,1,1,1215906.48,4,1,2,0,1,0
38,1,2,198623.88,2,1,2,1,2,0
47,1,2,424434.51,2,0,2,0,3,0
47,1,2,551392.83,3,0,2,1,1,1
32,2,2,632699.55,4,0,2,1,1,0
52,1,2,1605968.1,4,1,1,1,2,0
54,1,1,903320.55,0,0,2,1,2,1
34,2,3,600137.55,3,1,2,0,1,1
27,1,2,451086.03,2,0,1,1,2,0
35,1,3,844107.57,5,0,2,1,2,0
41,1,1,17028,0,1,2,1,3,0
40,2,1,579152.79,3,1,1,1,3,0
68,1,1,634975.74,3,0,2,0,2,1
35,2,3,994740.84,2,0,1,1,2,0
30,1,1,996902.55,4,0,1,1,1,0
32,1,1,291420,3,1,1,1,2,0
38,2,3,1227331.53,3,0,1,1,3,0
37,2,1,1625969.79,1,1,2,1,1,1
58,1,2,1203286.05,2,0,2,1,2,1
59,1,1,864971.1,3,0,2,1,3,1
31,1,4,67662,3,0,1,1,3,0
40,2,2,867602.16,3,1,1,1,1,0
43,1,4,1122038.64,1,1,1,1,2,0
56,1,1,1073558.34,1,1,2,1,1,0
47,2,1,444098.88,2,1,1,1,2,0
45,2,2,1601452.08,0,1,2,1,1,1
38,2,2,1398909.33,2,1,2,1,2,1
25,1,4,2015588.61,2,0,2,1,1,0
45,2,3,1157365.08,3,1,1,1,3,0
31,1,4,339793.29,1,0,2,1,2,0
47,1,2,2143646.46,1,1,2,1,1,1
28,2,3,1536736.41,4,0,1,1,1,1
26,1,2,907972.74,3,0,1,0,3,0
40,1,3,227637.72,2,1,2,1,1,0
40,1,1,1101682.53,5,1,2,0,3,0
